ticker,weights
EXR,0.0009670010878762237
DD,0.0009670010878762237
PWR,0.0009670010878762237
ED,0.0009670010878762237
PEG,0.0009670010878762237
MLM,0.0009670010878762237
VMC,0.0008461259518916958
KR,0.0008461259518916958
MPWR,0.0008461259518916958
EFX,0.0008461259518916958
DVN,0.0008461259518916958
FICO,0.0008461259518916958
RCL,0.0008461259518916958
DLTR,0.0008461259518916958
CBRE,0.0008461259518916958
ACGL,0.0008461259518916958
HSY,0.0008461259518916958
SBAC,0.0008461259518916958
EIX,0.0008461259518916958
AVB,0.0008461259518916958
WST,0.0008461259518916958
WEC,0.0008461259518916958
HPQ,0.0008461259518916958
ANSS,0.0008461259518916958
MTD,0.0008461259518916958
RMD,0.0007252508159071677
ZBH,0.0007252508159071677
TTWO,0.0007252508159071677
